<!-- School Class Manager - User ID: 1, Roles: administrator, Is Admin: yes, Is Teacher: no -->Code,"Class ID","Expiry Date","Usage Limit","Used Count",Status
BIN6EAGBBTS,2,"2025-07-25 00:00:00",1,0,
BINVG482GTX,2,"2025-07-25 00:00:00",1,0,
BINZ3AMNL8Z,2,"2025-07-25 00:00:00",1,0,
BINCG39URAR,2,"2025-07-25 00:00:00",1,0,
BINUJ5AJYNT,2,"2025-07-25 00:00:00",1,0,
BINWN68NJ8W,2,"2025-07-25 00:00:00",1,0,
BIN34ETF6MX,2,"2025-07-25 00:00:00",1,0,
BINPL724FYE,2,"2025-07-25 00:00:00",1,0,
BINEDJV7AFU,2,"2025-07-25 00:00:00",1,0,
BINEAVGTPDW,2,"2025-07-25 00:00:00",1,0,
BINS7WYHJX5,1,"2025-07-24 00:00:00",1,0,
BINED6X6WSF,1,"2025-07-24 00:00:00",1,0,
BINHHRXJ6Y7,1,"2025-07-24 00:00:00",1,0,
BINLN7L6BXW,1,"2025-07-24 00:00:00",1,0,
BINTYZDQGC8,1,"2025-07-24 00:00:00",1,0,
BINYXL5KWTT,1,"2025-07-24 00:00:00",1,0,
BINRJ4EVGVB,1,"2025-07-24 00:00:00",1,0,
BINWBU5X4R4,1,"2025-07-24 00:00:00",1,0,
BINSCGAUEKH,1,"2025-07-24 00:00:00",1,0,
BINWMA7ND5K,1,"2025-07-24 00:00:00",1,0,
